feature,importance,fold
WALLSMATERIAL_MODE_Monolithic,0,1
WALLSMATERIAL_MODE_Others,12,1
WALLSMATERIAL_MODE_Panel,6,1
WALLSMATERIAL_MODE_Stonebrick,39,1
WALLSMATERIAL_MODE_Wooden,0,1
EMERGENCYSTATE_MODE_No,0,1
EMERGENCYSTATE_MODE_Yes,0,1
DAYS_EMPLOYED_PERC,386,1
INCOME_CREDIT_PERC,252,1
INCOME_PER_PERSON,157,1
ANNUITY_INCOME_PERC,364,1
PAYMENT_RATE,1108,1
BURO_DAYS_CREDIT_MIN,110,1
BURO_DAYS_CREDIT_MAX,249,1
BURO_DAYS_CREDIT_MEAN,186,1
BURO_DAYS_CREDIT_VAR,210,1
BURO_DAYS_CREDIT_ENDDATE_MIN,86,1
BURO_DAYS_CREDIT_ENDDATE_MAX,207,1
BURO_DAYS_CREDIT_ENDDATE_MEAN,122,1
BURO_DAYS_CREDIT_UPDATE_MEAN,163,1
BURO_CREDIT_DAY_OVERDUE_MAX,3,1
BURO_CREDIT_DAY_OVERDUE_MEAN,2,1
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,302,1
BURO_AMT_CREDIT_SUM_MAX,158,1
BURO_AMT_CREDIT_SUM_MEAN,212,1
BURO_AMT_CREDIT_SUM_SUM,166,1
BURO_AMT_CREDIT_SUM_DEBT_MAX,83,1
BURO_AMT_CREDIT_SUM_DEBT_MEAN,206,1
BURO_AMT_CREDIT_SUM_DEBT_SUM,119,1
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,31,1
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,77,1
BURO_AMT_CREDIT_SUM_LIMIT_SUM,56,1
BURO_AMT_ANNUITY_MAX,75,1
BURO_AMT_ANNUITY_MEAN,54,1
BURO_CNT_CREDIT_PROLONG_SUM,3,1
BURO_MONTHS_BALANCE_MIN_MIN,46,1
BURO_MONTHS_BALANCE_MAX_MAX,9,1
BURO_MONTHS_BALANCE_SIZE_MEAN,53,1
BURO_MONTHS_BALANCE_SIZE_SUM,80,1
BURO_CREDIT_ACTIVE_Active_MEAN,55,1
BURO_CREDIT_ACTIVE_Baddebt_MEAN,0,1
BURO_CREDIT_ACTIVE_Closed_MEAN,75,1
BURO_CREDIT_ACTIVE_Sold_MEAN,30,1
BURO_CREDIT_ACTIVE_nan_MEAN,0,1
BURO_CREDIT_CURRENCY_currency1_MEAN,0,1
BURO_CREDIT_CURRENCY_currency2_MEAN,0,1
BURO_CREDIT_CURRENCY_currency3_MEAN,0,1
BURO_CREDIT_CURRENCY_currency4_MEAN,0,1
BURO_CREDIT_CURRENCY_nan_MEAN,0,1
BURO_CREDIT_TYPE_Anothertypeofloan_MEAN,14,1
BURO_CREDIT_TYPE_Carloan_MEAN,52,1
BURO_CREDIT_TYPE_Cashloannonearmarked_MEAN,0,1
BURO_CREDIT_TYPE_Consumercredit_MEAN,92,1
BURO_CREDIT_TYPE_Creditcard_MEAN,90,1
BURO_CREDIT_TYPE_Interbankcredit_MEAN,0,1
BURO_CREDIT_TYPE_Loanforbusinessdevelopment_MEAN,0,1
BURO_CREDIT_TYPE_Loanforpurchaseofsharesmarginlending_MEAN,0,1
BURO_CREDIT_TYPE_Loanforthepurchaseofequipment_MEAN,0,1
BURO_CREDIT_TYPE_Loanforworkingcapitalreplenishment_MEAN,0,1
BURO_CREDIT_TYPE_Microloan_MEAN,106,1
BURO_CREDIT_TYPE_Mobileoperatorloan_MEAN,0,1
BURO_CREDIT_TYPE_Mortgage_MEAN,85,1
BURO_CREDIT_TYPE_Realestateloan_MEAN,0,1
BURO_CREDIT_TYPE_Unknowntypeofloan_MEAN,0,1
BURO_CREDIT_TYPE_nan_MEAN,0,1
BURO_STATUS_0_MEAN_MEAN,135,1
BURO_STATUS_1_MEAN_MEAN,54,1
BURO_STATUS_2_MEAN_MEAN,4,1
BURO_STATUS_3_MEAN_MEAN,0,1
BURO_STATUS_4_MEAN_MEAN,12,1
BURO_STATUS_5_MEAN_MEAN,2,1
BURO_STATUS_C_MEAN_MEAN,66,1
BURO_STATUS_X_MEAN_MEAN,61,1
BURO_STATUS_nan_MEAN_MEAN,0,1
ACTIVE_DAYS_CREDIT_MIN,129,1
ACTIVE_DAYS_CREDIT_MAX,400,1
ACTIVE_DAYS_CREDIT_MEAN,228,1
ACTIVE_DAYS_CREDIT_VAR,190,1
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,359,1
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,273,1
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,208,1
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,241,1
ACTIVE_CREDIT_DAY_OVERDUE_MAX,2,1
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,0,1
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,160,1
ACTIVE_AMT_CREDIT_SUM_MAX,177,1
ACTIVE_AMT_CREDIT_SUM_MEAN,154,1
ACTIVE_AMT_CREDIT_SUM_SUM,252,1
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,132,1
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,226,1
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,140,1
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,61,1
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,162,1
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,71,1
ACTIVE_AMT_ANNUITY_MAX,41,1
ACTIVE_AMT_ANNUITY_MEAN,60,1
